iter	Passed	Remaining
0	1	118
1	2	116
2	4	135
3	5	130
4	6	123
5	7	120
6	8	116
7	9	114
8	11	111
9	12	110
10	13	109
11	14	107
12	15	106
13	17	105
14	18	103
15	19	102
16	20	101
17	21	100
18	23	98
19	24	97
20	25	97
21	27	96
22	28	95
23	30	95
24	31	94
25	32	93
26	34	92
27	35	92
28	37	91
29	38	90
30	39	89
31	41	88
32	42	86
33	44	85
34	45	85
35	47	83
36	48	82
37	49	81
38	51	79
39	52	78
40	53	77
41	55	76
42	56	75
43	58	73
44	59	72
45	60	71
46	62	69
47	63	68
48	64	67
49	65	65
50	67	64
51	68	63
52	69	61
53	71	60
54	72	59
55	74	58
56	75	56
57	76	55
58	78	54
59	79	53
60	80	51
61	82	50
62	83	49
63	85	47
64	86	46
65	87	45
66	89	43
67	90	42
68	91	41
69	92	39
70	93	38
71	95	37
72	96	35
73	98	34
74	99	33
75	100	31
76	102	30
77	103	29
78	104	27
79	105	26
80	107	25
81	108	23
82	109	22
83	110	21
84	112	19
85	113	18
86	115	17
87	116	15
88	117	14
89	118	13
90	120	11
91	121	10
92	122	9
93	123	7
94	125	6
95	126	5
96	128	3
97	129	2
98	130	1
99	131	0
